bolt_neve,termek_neve,kezdeti_datum,vege_datum,eredeti_ar,kedvezmenyes_ar,kartyas_e,kategoria,hierarchiaszint,egyedi_hash
Tesco,Csipet Ropi sós kisperec vagy sós pálcika,2026-04-23,2026-04-29,649,499,True,Snack,2,df21acc10bff6daa01828f66672e171ac860d56610d6d340f2b14c9587b0064c
Tesco,Tesco hullámos chips,2026-04-23,2026-04-29,519,419,True,Snack,2,9da3ae180ce3d730b2069d27e7f5b40abe71b54658b130dfa3a54915e4953777
Lidl,SNACK DAY Hummusz chips,2026-04-23,2026-04-29,295,199,True,Snack,2,887215f1761a176db4aae7d5053ed34eef545299af7049a5ebd9add4061782ef
Tesco,Pom-Bär burgonyasnack,2026-04-23,2026-04-29,499,399,True,Snack,2,a6c7e499d831cc4adef6d1f97117db8c029c4fbd65e8e814415a1e0df2ae4249
Lidl,SNACK DAY Flips,2026-04-23,2026-04-29,469,329,False,Snack,2,d89a42d6e9a3d2e70b23705c108411275a7b1c1b0169983b22e97b17d487ed8b
Lidl,CSÍKI Chips,2026-04-23,2026-04-29,399,339,False,Snack,2,98a11197d11074f50c1f7a959bea08e90f4695640ce480dca3c4b36507c91cbd
Auchan,Lays LAYS CHIPS,2026-04-23,2026-04-29,619,469,False,Snack,2,2ab7f986f398887c6dd3d33f5c7b9dc495c0bc5abb44200ba1972f060ed52a1e
Tesco,Mogyi Crasssh! földimogyoró,2026-04-23,2026-04-29,399,299,True,Magvak és aszalvány,2,8543d5b601f081195254d96359ce42204d3dcb520b83ce6ebdd9d961e2882c56
Tesco,Mogyi pörkölt földimogyoró,2026-04-23,2026-04-29,1399,999,True,Magvak és aszalvány,2,a4d95167bc7a119211ef4623d5c382b7c5b0375af1f507b567d25b1f27049719
ALDI,BELLA MANDULA,2026-04-27,2026-04-29,1199,749,False,Magvak és aszalvány,2,a63011400a2851cf26a8f8934b8ad2b1e1812ed3acc299ca5af1d4cc573f3047
Auchan,NATURFOOD DIÁKCSEMEGE,2026-04-23,2026-04-29,1249,799,False,Magvak és aszalvány,2,67f120626a9ed6679228f4357b4c2205f84075d5b21fe7bc3c96c993f3c5b9fb
Auchan,Nissin NISSIN SOBA PROTEIN INSTANT LEVES,2026-04-23,2026-04-29,949,659,True,Instant étel,2,8f01bc9b3b786ea8eeafda17b32cc8277f22d48a93b48323e3ad1af8b18823d6
Tesco,Knorr bögrés instant leves,2026-04-23,2026-04-29,279,219,True,Instant étel,2,f3a818dad7191a4699c939b8e5c7e62ef787a37805dee01e77745f6fc694988d
Tesco,Maggi instant alap,2026-04-23,2026-04-29,519,399,True,Instant étel,2,6559c459022ae710a12b7bc209aaa8fed42b26f34f799be41b27ff729b60161b
SPAR,Maggi Párperc instant tészta,2026-04-23,2026-04-29,299,199,False,Instant étel,2,daf7cb85f64e230cccd5609c27210ecb47f8b24238be2447c13ef8af2eab436e
Auchan,Maggi MAGGI ALAP VAGY FIX,2026-04-23,2026-04-29,589,399,False,Instant étel,2,86451ff056dd29283114f54c0c5406867fdcc87962ba0b93e6be0b02cec1db95
Lidl,MAGGI Instant leves,2026-04-23,2026-04-29,749,599,False,Instant étel,2,c6b8636bb6f28615fd74e60959f5039d9c0df34ba371f67e3857d584bb29cd00
Tesco,Univer ketchup,2026-04-23,2026-04-29,2059,1899,True,Szósz,2,5d09482ea6ac67bb9f0b5ad0834bc0227257f845323254c64ed2167115bf31e9
SPAR,S-BUDGET sűrített paradicsom,2026-04-23,2026-04-29,199,179,True,Szósz,2,28d070377e28aa403db4c0d216044270ad8d9b4ab1fbe6859e4a2e4ab5e0bb52
SPAR,Bens Original mártás,2026-04-23,2026-04-29,1189,999,True,Szósz,2,06277ae09394675fdecf5add3fcb6bddd196852a0267235d5937f66085abdfcd
Tesco,Globus mustár,2026-04-23,2026-04-29,1239,899,True,Szósz,2,9811e2d99103a014753743be08d5fe13c6856e528d8dd02df11e0609156567a2
SPAR,SPAR pizzakrém,2026-04-23,2026-04-29,579,449,False,Szósz,2,0abd13e431cc3c0a14587e5f3eeb072d96af75a56f1357ff4aff9b7744b87e4b
SPAR,Univer ketchup,2026-04-23,2026-04-29,1089,799,False,Szósz,2,f57b16ff53fdf4235f15bb607eeec150bf5ed82ababbcfe0d89c3444f8ef2348
ALDI,HEINZ KETCHUP,2026-04-27,2026-04-29,1379,949,False,Szósz,2,45397ea73a872a649b37454246de0e48ae0467dbf7d990c6d0b9137bc123bf58
SPAR,Heinz majonéz,2026-04-23,2026-04-29,1789,1299,False,Szósz,2,ec19a131891704a639802c2356e15a15ca0eae22e57511cee942651d5a0f4ff9
Tesco,Ms Mollys kakaós kenhető krém,2026-04-23,2026-04-29,899,799,True,Lekvár és méz,2,3811f45c37166e7040e061f4f74794c2d88f5751e38e67ee1f5bfdfa81ff2033
SPAR,Háziasszony extradzsem,2026-04-23,2026-04-29,1099,749,True,Lekvár és méz,2,c2a1574e52c41c5d10e33c9dc84823f700fe574b2fb74a03631130ea4080083b
SPAR,Lekvár,2026-04-23,2026-04-29,1599,1249,False,Lekvár és méz,2,1bf607ca0db3795e89065038ad09406845eaf3fd2731a60a4198fc629ce4ef70
SPAR,Magyar morzsa,2026-04-23,2026-04-29,649,549,False,Sütési alapanyagok,2,e113a856bccd619c676cb9bce2b06cb096577185932d767aacec07ae4c7abc58
SPAR,Thymos holland kakaópor,2026-04-23,2026-04-29,1149,999,False,Sütési alapanyagok,2,6e8db55ed8393259967e39554fa1a67ffa37f4b3b2a76e917c8022083300b402
Auchan,AUCHAN KEDVENC VOLLKORN TOAST KENYÉR,2026-04-23,2026-04-29,349,299,True,Kenyér,2,efffb3b3d411dc42de41dbbdbf15721c93c3711710859e67150e66cadfd9691d
SPAR,Zalai kovászos cipó,2026-04-23,2026-04-29,829,599,True,Kenyér,2,91c511f3a87a47b87d21dfbe4f34bb4c13807a27547d67b6341f87ae53ddcd8b
Lidl,Light kocka,2026-04-27,2026-04-29,539,369,True,Kenyér,2,1de30431d63e55226103da52c7ddd5ab2208f2417f59278632ec201556fd9acc
SPAR,S-BUDGET toast kenyér,2026-04-23,2026-04-29,369,299,False,Kenyér,2,72b511b0bbf4a1af6cf84813fbeb3feea0aa64a59bc15ee070cb11b6aa8e1e87
SPAR,Magvas cipó,2026-04-23,2026-04-29,599,449,False,Kenyér,2,fe92062b151b2bd14d4476f28904a667a7141375c043ff8a3f801cc6a8b15276
SPAR,Durum vekni,2026-04-23,2026-04-29,649,549,False,Kenyér,2,e14f64a818b61e5255fbdcd6acb093277c25de9fb4b5df7ab3d852c8ffde68ec
Auchan,"KOVÁSZOS, FONOTT CIPÓ",2026-04-23,2026-04-29,699,599,False,Kenyér,2,0e7a9a7d0003d38ade65b73a0fed0a1d763b217078a736f2ca1ef8895afb1ee5
Auchan,SAJTOS-JALAPENOS DUPLACSIGA,2026-04-23,2026-04-29,299,249,True,Friss pékárú,2,596907e160a70fd35d895ece16c4c32be04545ed9febae6f0d98ac2725c948a8
SPAR,SPAR fonott kalács,2026-04-23,2026-04-29,699,499,True,Friss pékárú,2,4a0f26a0b4ecd69650cfb54cf0269dbb96e82613ad6e06aa65db880f8c71a70b
SPAR,Csokoládés rúd tejkrémmel töltve,2026-04-23,2026-04-29,199,149,True,Friss pékárú,2,b441068e82a1ebb3a51b76c200095b5fa59b6bfa8b3ae03f13855886a17e940c
SPAR,Retro kifli,2026-04-23,2026-04-29,139,95,True,Friss pékárú,2,4a4e4d74791d1ebd1c6389064b89b4750958add67defbe56d3d4ea6f5a0b5b5a
Tesco,Jaus hamburgerzsemle,2026-04-23,2026-04-29,1249,799,True,Friss pékárú,2,5dd4b95769e08ce2b75b3da935a6da1d3e84ea06a6d59c172f657f9cf9d41463
Tesco,Cake Mania Buns csokoládékrémmel töltött molnárka kovásszal és csokoládés töltelékkel,2026-04-23,2026-04-29,1029,799,True,Friss pékárú,2,a25be496316d705cf25199de78c4905823e4efe9ea6d4fb09d4b0f593a20fc6a
Auchan,TELJES KIŐRLÉSŰ BÉCSI ZSEMLE,2026-04-23,2026-04-29,99,69,False,Friss pékárú,2,caa7c588ad9fe602d5a3b80b1de4d1b3ee3eca9671d34841df88491a30cef8a6
Auchan,KAKAÓS CSIGA,2026-04-23,2026-04-29,199,119,False,Friss pékárú,2,b438f4be44ff610f957a1f4cbaa8e493b17c84d9a8c5bd1751510d542fcdaaa1
ALDI,AZON MELEGÉBEN MEXIKÓI PÁRNA,2026-04-27,2026-04-29,195,119,False,Friss pékárú,2,21061697694773e15fd6d789d2ce2754aed5ede8513277e5fa20c3534795fcf0
Lidl,Medve sajtos párna,2026-04-27,2026-04-29,199,129,False,Friss pékárú,2,0d962e9acee334da0d16a8479d42e814edaaf7200e20d07fc0ca933697c08211
ALDI,AZON MELEGÉBEN MEGGYES PÁRNA,2026-04-27,2026-04-29,279,169,False,Friss pékárú,2,077002b6b201ac7806b3a3949266ee8cc7ef6f518792c2e0f92283d583680774
Lidl,Mogyorókrémes croissant,2026-04-27,2026-04-29,299,199,False,Friss pékárú,2,b11cc7dd60c21f10747190a8a97703e5f3020f63455e6119fb7a6c38f4982728
Tesco,7days croissant,2026-04-23,2026-04-29,289,217,False,Friss pékárú,2,21875ce9fafc945a65cdd96e1eea9ef07f1395b44a87a4eefbadf8ffffccadb0
SPAR,Rost&Protein snack magvakkal,2026-04-23,2026-04-29,259,219,False,Friss pékárú,2,b0c13f6b313637040935ab5b2d77ac58fa9a9780cae5ef03db281073163ebd64
SPAR,SPAR grillkolbászos BBQ-rúd,2026-04-23,2026-04-29,299,249,False,Friss pékárú,2,de1f9d517c07ef60969788ec31b755d88b1d3f3e447964e2f63ecd318ef9debd
Tesco,Bécsi perec,2026-04-23,2026-04-29,399,299,False,Friss pékárú,2,38ebe49f0fd61a1b8f51d9b17e79916f32eff7e26d10614070ce47d79523940f
SPAR,Sajtos bagett,2026-04-23,2026-04-29,499,399,False,Friss pékárú,2,577d179558d07590f2d3cf67c9d4c50ff3a794b162f9bf0449ccd1303bb872bb
SPAR,7DAYS multipack croissant,2026-04-23,2026-04-29,999,699,False,Friss pékárú,2,37892a006dac630578b8b296e96105c6ad6aca671ba4f55424bd83b9337e01f6
SPAR,SPAR veggie pita,2026-04-23,2026-04-29,899,749,False,Egyéb pékárú,2,a79801ecd76e16a707687539ced01fcf72b131f99688668fef08ba8b9bf7fdcb
Auchan,"SAJTTAL TÖLTÖTT PIROS, SÁRGA PAPRIKA, MINI TÖK VAGY VEGYES TÁL",2026-04-23,2026-04-29,2369,1379,False,Növényi kenhető krém,2,a464f86f6e1ca09abefbf41a448bb89758f14dd4e769641159bdfd2b6e5cc63c
Tesco,Pizza Doro Contadina pizza,2026-04-23,2026-04-29,1629,1239,True,Mirelit készétel,2,748fc312037811328fa605ccf839da4162c7a0e2f6f9d16dcb3b1f706700c094
SPAR,SPAR nudli,2026-04-23,2026-04-29,699,399,False,Mirelit készétel,2,d4c7bec3ec1e4717a633bea384a7913c3365c2bba5ae2c05fc530ad50205b4ed
Auchan,Buitoni BUITONI PICCOLINIS MINI PIZZA,2026-04-23,2026-04-29,1399,1189,False,Mirelit készétel,2,4f802f3778a4bc40680d053fbdb0e1d9557f7c0d2a6d10a3b0902234b3d396a4
SPAR,Dr. Oetker Feliciana pizza,2026-04-23,2026-04-29,1599,1199,False,Mirelit készétel,2,b15acfbc42b6f548f2fd0269eee7b9b663227c028474ede184239316134c398e
ALDI,PIZZAH KÖVÖN SÜTÖTT PIZZA,2026-04-27,2026-04-29,2499,1699,False,Mirelit készétel,2,a3926d8eab8ddb1d9e996bca456cce0815c5174c4b9400fb3ce90a412f85f647
Auchan,Auchan Collection AUCHAN COLLECTION BÉCSI SERTÉSVIRSLI,2026-04-23,2026-04-29,1799,1259,True,Felvágott/kolbász/szalámi,2,91817ab5e67f69842eff50d86e402cb9baeea2359087cdf38934a46f96f472f9
Auchan,Auchan AUCHAN KEDVENC DEBRECENI,2026-04-23,2026-04-29,1499,1299,True,Felvágott/kolbász/szalámi,2,b9547c2780b76a1c1dc864c6f68ef8f9a2c5404e843d86532b1367e35ff30fc0
SPAR,"Regnum Olasz, Zala felvágott",2026-04-23,2026-04-29,399,319,True,Felvágott/kolbász/szalámi,2,345f2ba0873221926c9d157695762a6d27eae5eb749cdaca9940305308117aa4
SPAR,"Regnum hámozott frankfurti virsli, cheddar sajtos virsli",2026-04-23,2026-04-29,769,599,True,Felvágott/kolbász/szalámi,2,8f5d027b69547c9a8f4d7f25c4838e1ad4fa533519db402323f510008d2cbc35
SPAR,Regnum csülök felvágott,2026-04-23,2026-04-29,329,239,True,Felvágott/kolbász/szalámi,2,dc03f2363fbc73ef8a039d33a260dd53399b1b4598fb44756c392a3c2c24a863
SPAR,S-BUDGET dán szalámi,2026-04-23,2026-04-29,499,399,True,Felvágott/kolbász/szalámi,2,b7ec6dc48def13e5095dc99d5b53e3342f86e5300da265dcdc9d032c76e3d914
SPAR,Regnum frankfurti virsli,2026-04-23,2026-04-29,1279,999,True,Felvágott/kolbász/szalámi,2,f5a5ea17c229330b9a9e6c1ed4b942aa3271818901d4a91c651ffb4e7c35acfd
SPAR,Pick Rákóczi szalámi,2026-04-23,2026-04-29,799,599,True,Felvágott/kolbász/szalámi,2,8706206cb4a2a6e14c19720ec4e665ec54cf506745bce26665bfce91ad9dc552
SPAR,Pick Pickolino roppanós virsli,2026-04-23,2026-04-29,1389,1089,True,Felvágott/kolbász/szalámi,2,3bec7a28e6fceecbfd589633c877c79de080814b424f8ca2b83cf46eb3daee68
Tesco,"Privát Hús füstölt-főtt csemege karaj, -tarja vagy -sonka",2026-04-23,2026-04-29,599,399,True,Felvágott/kolbász/szalámi,2,2f13cc170ab72a8ef3db435500c0da9519c2b8aae04bb32b1b9c1ef98940fcb1
Tesco,Master Good füstli,2026-04-23,2026-04-29,629,429,True,Felvágott/kolbász/szalámi,2,f0f4ab41ced52ecf1f3f7af9b1ad75c86c73aa44bff33eff23b483e050df68d4
Tesco,Kometa Útravaló szeletelt felvágott,2026-04-23,2026-04-29,599,500,True,Felvágott/kolbász/szalámi,2,b15c07e533f8eb47d546817fe9ca60003192ecf266c45f541ceb6e08b5692eb3
Tesco,SNACK!T Exclusive Kabanos kolbász,2026-04-23,2026-04-29,1589,899,True,Felvágott/kolbász/szalámi,2,d8300875bc7b48c2de0e4f5b86e4c91ab51f9878a72b3116c699ad55089b1d25
Tesco,Finonimo lángolt kolbász,2026-04-23,2026-04-29,1599,1139,True,Felvágott/kolbász/szalámi,2,07364413e117874e08ecb15f2f3c7361479771c17190c8940c44098ce4985f7b
Tesco,"Kometa Kemencés sült csülök, tarja, sonka vagy karaj",2026-04-06,2026-05-24,799,549,True,Felvágott/kolbász/szalámi,2,8e3bea9b9eb84bf6ee0804447a0061ca55e4048ba00f77f616a0f4c83db20499
Tesco,Tauris szelet,2026-04-23,2026-04-29,359,249,True,Felvágott/kolbász/szalámi,2,fb332f0ad8eadff98306e45d6ca187367b679c467db6d1757a0f6697d9677099
Tesco,Privát Hús bécsi roppanós sertésvirsli**,2026-04-23,2026-04-29,799,599,True,Felvágott/kolbász/szalámi,2,6d05c08160ecfb3d1fe282490fb5886a7b0d48fecba2249f7f9ff4ec9e8f0871
Tesco,Kometa Zselici szalámi,2026-04-23,2026-04-29,2499,1999,True,Felvágott/kolbász/szalámi,2,3789afbd08aed5ccb87383ca19afcf7eb0c05659febcd51f33f91a5bbd2993da
Lidl,PIKOK Pulykacombsonka,2026-04-27,2026-04-29,299,219,True,Felvágott/kolbász/szalámi,2,bac253664c8a01721ebe6091ad1b04b5468f1ab67882af9a90ce8525980f2d64
Tesco,Pick szeletelt téliszalámi,2026-04-23,2026-04-29,899,649,True,Felvágott/kolbász/szalámi,2,173cb663014fb87c5721a8a4ecf5ae36d0e0286b5601441782f748d2b2e5856f
Tesco,Pick Fresh Corner hot-dog kolbász,2026-04-23,2026-04-29,1799,1399,True,Felvágott/kolbász/szalámi,2,7d91ab2fa6a1b20dc6547dca4327d026a3411aa302cd5e11a283d01346c1bf36
Tesco,Hajnal Hús lecsókolbász,2026-04-23,2026-04-29,229,149,False,Felvágott/kolbász/szalámi,2,178bede5b717d7ec852cd4c7c3aebcbcbc3ce89ffc4fc6e89d47c1405bfcb685
SPAR,Regnum lecsókolbász,2026-04-23,2026-04-29,259,179,False,Felvágott/kolbász/szalámi,2,cb73302a3e0692ceb6c672968148c410e0affa5ca5506cf96e6eb635ca9806b0
ALDI,FÜRDŐI SZELET,2026-04-27,2026-04-29,625,299,False,Felvágott/kolbász/szalámi,2,09c576eee68458434f1a648c625029480389fc1b5a373b0f518c45d4902c8842
SPAR,SPAR csirkemell sonka,2026-04-23,2026-04-29,425,359,False,Felvágott/kolbász/szalámi,2,228d1cef4722c7a2295d6126ea9a6e118afe439d5cda0f11768a51abb9bc7dad
SPAR,Regnum Turist,2026-04-23,2026-04-29,499,399,False,Felvágott/kolbász/szalámi,2,bde743af0b6be11406d262322779c224c1523522184f3e6f2fe72d53dc5333cc
Tesco,Pápai Hús sült prágai sonka vagy extra sonka*,2026-04-23,2026-04-29,499,429,False,Felvágott/kolbász/szalámi,2,525cb7da37c4ef06b5baf3e1286908cd2a9de8a9d6d903410091b553826a0496
Tesco,Família Harmónia rúd*,2026-04-23,2026-04-29,569,429,False,Felvágott/kolbász/szalámi,2,73b87f2cc93c5f9b494871093a250f9a5e26827a8d66a3975ae80ac38aa200e9
Tesco,Bogádi füstölt kolbász*,2026-04-23,2026-04-29,649,439,False,Felvágott/kolbász/szalámi,2,e414e5b12ba4cff51275b766ab758877dafecd2f6eeb570ae1667adc1738a102
SPAR,Regnum Mester sonka,2026-04-23,2026-04-29,579,449,False,Felvágott/kolbász/szalámi,2,0ebc07ee9080c500bfad0773b03f3ef22e6e6ce826542975e6f5a7d2edab4130
SPAR,SPAR parasztkolbász,2026-04-23,2026-04-29,599,479,False,Felvágott/kolbász/szalámi,2,109820a4e539ee0148807e11b3d07ec7d855467219cc05410b32da2fc4eb8809
Auchan,"Auchan AUCHAN KEDVENC SONKA, TARJA, KARAJ VAGY CSÜLÖK",2026-04-23,2026-04-29,699,499,False,Felvágott/kolbász/szalámi,2,71646e1a2717bac3676f9d0562a6a9e010500bfef99882b08b3c6de60f2a72b8
SPAR,Gyulai kolbász,2026-04-23,2026-04-29,849,579,False,Felvágott/kolbász/szalámi,2,2e49ae0e7ca9758104129302df5e7b6e4d76e9f0df04fd702f7d3fd4e5050f6b
SPAR,Chorizo,2026-04-23,2026-04-29,899,699,False,Felvágott/kolbász/szalámi,2,3a032d7078520c1bcf5337e2f3432249a93121bbb66e04a98232cf26feb236ab
SPAR,Csabai snack kolbász,2026-04-23,2026-04-29,899,699,False,Felvágott/kolbász/szalámi,2,7ead8ff84bbe95baa26fd668c542c8cb8aa4b7a6354418de06411019cdf4c899
SPAR,Pick Báthory szalámi,2026-04-23,2026-04-29,999,799,False,Felvágott/kolbász/szalámi,2,974426ca578357462e7dc6bdf4fcb8c3faa7dd2167487ca5aa120fc1a154df94
Lidl,DULANO Sonkaválogatás,2026-04-27,2026-04-29,1299,859,False,Felvágott/kolbász/szalámi,2,c5e4f5025a1240177a1a0c59e6ac61b4c562b52d83bfc9800e53c789acf52ded
Tesco,Tesco spanyol stílusú nyers sertéskolbász,2026-04-23,2026-04-29,1199,1099,False,Felvágott/kolbász/szalámi,2,a1dba1379d102199c02345275f511f44433ce17930134cf55ef871256326ae55
Auchan,Auchan AUCHAN KEDVENC GYULAI CSEMEGE SZÁRAZKOLBÁSZ,2026-04-23,2026-04-29,1599,1199,False,Felvágott/kolbász/szalámi,2,55bb8f10ddb54e3ac2c5325c34a9a7293ff773b376e34108f274e7f5022e5266
SPAR,Wiesbauer Prémium bécsi virsli,2026-04-23,2026-04-29,1999,1399,False,Felvágott/kolbász/szalámi,2,cb3d7dbee15829b879d5789ccf5d735fe6c8dd060b3ef0d4fd1c283c582f1ea7
Auchan,Pick PICK HOT-DOG KOLBÁSZ,2026-04-23,2026-04-29,1879,1579,False,Felvágott/kolbász/szalámi,2,525b2a0657d5400d69bd9ed7d86f1db24fbdb45ed0ded133e9ebeab15a73eb25
Auchan,Auchan AUCHAN TIPP TÉLISZALÁMI,2026-04-23,2026-04-29,2499,1899,False,Felvágott/kolbász/szalámi,2,89a8aaf9a6aad8b28e02379d65bbda74cc962f5615fd909a59acdaaeeb58ccd4
SPAR,Pick téliszalámi,2026-04-23,2026-04-29,9889,6999,False,Felvágott/kolbász/szalámi,2,eeef76bbe13b6a7012e0157c0cb2225b7ec3970c1ad6a6d4c2064f90ef903efa
SPAR,"Libazsír, kacsazsír",2026-04-23,2026-04-29,629,529,True,Zsír,2,a6d9d5d6da14c8bd9f4b41e51685b1977a04d81cbabd1e824acfaaf46dde3ef9
Auchan,Auchan AUCHAN KEDVENC TEPERTŐKRÉM,2026-04-23,2026-04-29,899,699,False,Zsír,2,c9a5e9e5fad2aac1a7e4d10b7bba16e72b44cc86fcfd2f99efc72dff090cb464
SPAR,Regnum rakott erdélyi szalonna,2026-04-23,2026-04-29,529,399,True,Szalonna,2,a4efc085cc33832a9306ec5993d7d454c20ce3f5356fed0d05f03da5d5f075a9
Tesco,Kometa Kemencés sült császárszalonna,2026-04-06,2026-05-24,1689,1199,True,Szalonna,2,fb35be775641b4e9b325e848b90b3043a786bb7f7790c8a83f822b0eb386f79a
Tesco,Füstölt csemegeszalonna,2026-04-23,2026-04-29,359,269,False,Szalonna,2,5de3a5cafe64c46fc7a76c300738c4f6629ea2251ae4ba53bf25f1ec7d66ab4d
SPAR,Regnum füstölt kolozsvári szalonna,2026-04-23,2026-04-29,499,399,False,Szalonna,2,313a3c451806fb3732ec214ddd0c3a6187c6c1afa47b06039726567326c0b639
Auchan,Auchan AUCHAN KEDVENC SERTÉS ZSÍRSZALONNA,2026-04-23,2026-04-29,1499,1099,False,Szalonna,2,bfcdbcfe23d49131ecd238bb622a1db7309607d0025f260277d5fbec1c6d9c92
Auchan,Gierlinger GIERLINGER PRÉMIUM BACON,2026-04-23,2026-04-29,2899,1999,False,Szalonna,2,991a7b1cb33f6d3c39f84ee46ea3ebf004df6cdc7dbd8c9f49888fc13433690d
Auchan,Knorr KNORR TÉSZTÁS KÉSZÉTEL,2026-04-23,2026-04-29,1289,879,True,Hidegkonyha,2,20a9a2a92f5ac4d92a7afd51a5c51eb2d509202c285843b69f46b1b09747315e
SPAR,Heppy Chef csikós tokány,2026-04-23,2026-04-29,1499,1199,True,Hidegkonyha,2,03e6915394855c8d5325d414e0f4a3a1b479c9ad725438504f8379ef20f78e63
Auchan,Fresco di Forno FRESCO DI FORNO KÉSZÉTEL,2026-04-23,2026-04-29,1859,1299,False,Hidegkonyha,2,f6bde7d9952a6526940ba976d9c1fc5a221be7558ea9eec0fdd0068c26376ce4
Lidl,CHEF SELECT Nemzetközi készételek,2026-04-27,2026-04-29,1799,1349,False,Hidegkonyha,2,2817a78510914bb0515a976b32ffa5e86756b20683a2efb4e8ba097e515acffb
SPAR,Céklás káposztasaláta,2026-04-23,2026-04-29,999,699,True,Hidegkonyha,2,a330a259639da5ad4b7c67b39ac4398c26f0d890121f6a7796065b0315b916e6
SPAR,SPAR enjoy. almás-sajtos kukoricasaláta,2026-04-23,2026-04-29,799,599,False,Hidegkonyha,2,c2554e4f5b11b49b7e9834709117b775251f70b263771d5d238f07c0e2c7b7a4
SPAR,SPAR enjoy. BBQ csirkemelles szendvics,2026-04-23,2026-04-29,1099,799,True,Hidegkonyha,2,d3fc96c0acaf885605d0bb66c40627ae3a8a0034c90f9aa1c165bfcd56fa35e4
Tesco,Piroska üveges gyümölcsszörp,2026-04-23,2026-04-29,899,599,True,Szörp,2,55cc6d10fcd912eb1864885ffbe9a36bc0120e7ef2d1cb7bf48b279f66828171
Tesco,Cappy Ice Fruit gyümölcsital,2026-04-23,2026-04-29,739,579,True,Gyümölcslé,2,779a9437b5ca9e77836116fc4b97bd67eba8e0146b80568ec4a087938f6d1b13
Auchan,Szobi SZOBI GYÜMÖLCSITAL,2026-04-23,2026-04-29,419,349,True,Gyümölcslé,2,a1209fea24b9abed87b5f006de4eb0a5e81254986f42fb50915e17d2d2df7f5b
Tesco,Sió Zero gyümölcsital,2026-04-23,2026-05-20,719,549,True,Gyümölcslé,2,a8018fc50023fac924427f3697331c7328dde0fba551ee4cf60aab45dd2fc5c5
Lidl,SOLEVITA Narancslé,2026-04-23,2026-04-29,695,479,False,Gyümölcslé,2,1338bfb88ec0c229b673f4c91c4984b29b15c668649fbe8a8d24e55f9a710c65
Lidl,SOLEVITA Smoothie,2026-04-27,2026-04-29,535,399,True,Smoothie,2,8e05c12b71240a7f9f6768cb614321e6af15ac4185b813900b98f1b73db71a9e
Auchan,Pickwick PICKWICK TEA,2026-04-23,2026-04-29,859,599,True,Tea,2,3835ace9f25fc629e8f9a6a971a9147539488e5093a206c544938784af45718e
Auchan,Sir Morton SIR MORTON TEA,2026-04-23,2026-04-29,499,449,False,Tea,2,f98740a129966665b4ab57ec3b3b4def7548a2e60577a7c84b2a9da69d907723
SPAR,Loyd tea,2026-04-23,2026-04-29,739,649,False,Tea,2,c289c8a38981da88e3dd9d7c02977b192389c3d5998f3b73fce78f94de993eec
SPAR,Lipton tea,2026-04-23,2026-04-29,1649,1099,False,Tea,2,9c772ce24e9b89f5961528cf09d15742b831d1f376a13d3014f7494c68fa1d7c
Tesco,Kinley szénsavas üdítőital,2026-04-23,2026-04-29,759,629,True,Szénsavas,3,f6234a4edc6eb954d42587d07211ec33f5b387ff5f418275a73b0c365d718b31
Tesco,Márka szénsavas üdítőital,2026-04-23,2026-04-29,499,315,True,Szénsavas,3,bb99c616ce7db4b43cb4b86c2a6d4ddb4d350c741efc7018e3d7d680e4cb16b2
Tesco,"Coca-Cola, Fanta, Sprite Coca-Cola, Fanta vagy Sprite szénsavas üdítőital",2026-04-23,2026-04-29,759,659,True,Szénsavas,3,e9127843c7774d0f8d84a0796d01e6cd50fba9141dfc58ce4325019b55cd52e9
SPAR,Pepsi szénsavas üdítőital,2026-04-23,2026-04-29,534,499,True,Szénsavas,3,059bfdbab4840bf38b250479b60ef624aac7807b6a647a2f08be29f582345311
SPAR,Márka szénsavas üdítőital,2026-04-23,2026-04-29,599,359,True,Szénsavas,3,134bac73f7b9d2346ec9336c58068fb42a4a404bb57033ed1a0beac3aa3cbfad
Auchan,Márka MÁRKA SZÉNSAVAS ÜDÍTŐITAL,2026-04-23,2026-04-29,539,399,False,Szénsavas,3,f3e411a5d5910b19d6ab6f7dfbcbae060f3b1b874e89d945997abd457dcbc01f
SPAR,"Coca-Cola, Fanta szénsavas üdítőital",2026-04-23,2026-04-29,919,779,False,Szénsavas,3,439a80d0e8e1b0fff1d09b01a123a1822d71dd4dd24f0595ad1d092073837cce
Lidl,SOLEVITA Aloe Vera ital,2026-04-23,2026-04-29,449,329,True,Szénsavmentes,3,f1fb87c6411a59b9f63a906ba0636dd75b29d5271b13638007c4651a62e87a38
Tesco,XIXO Ice Tea,2026-04-23,2026-04-29,449,359,True,Szénsavmentes,3,c30b4d74826003f7f425e600a5f93fa9678ff16959fcee874c4e7183cf6a030d
SPAR,Nestea,2026-04-23,2026-04-29,589,419,True,Szénsavmentes,3,d222cc5b2b6208020fb3a917c0c83a1727d8d7341d4a5ec1fc6c9fad9ae4458c
Auchan,Nestea NESTEA ICE TEA,2026-04-23,2026-04-29,589,429,False,Szénsavmentes,3,c47d65005d90407b175c7cbe8d7e5258fc5e95225546e2cad7231cfca77febe7
Tesco,Monster energiaital,2026-04-23,2026-04-29,599,459,True,Energia- és vitaminital,3,ec7245efd439f311a567b2c4f9b85030a4767096864e11bb917fef33b7fc40c0
